generation genome measures value
2 12 length_ratio 0.333
2 12 sensors 0
2 12 symmetry 0
2 12 total_components 0.03
2 58 branching 0
2 58 connectivity1 0.25
2 58 connectivity2 1
2 58 coverage 0.6
2 58 effective_joints 0.5
2 58 length_ratio 0.4
2 58 sensors 0.142857
2 58 symmetry 0
2 58 total_components 0.06
2 124 branching 0
2 124 connectivity1 0.25
2 124 connectivity2 0.733
2 124 coverage 0.386
2 124 effective_joints 0.6
2 124 length_ratio 0.364
2 124 sensors 0
2 124 symmetry 0
2 124 total_components 0.17
2 138 branching 0
2 138 connectivity1 0.333
2 138 connectivity2 1
2 138 coverage 1
2 138 effective_joints 1
2 138 length_ratio 0.25
2 138 sensors 0.333333
2 138 symmetry 0
2 138 total_components 0.04
2 46 branching 0
2 46 connectivity1 0.4
2 46 connectivity2 0.6
2 46 coverage 0.438
2 46 effective_joints 0.6
2 46 length_ratio 1
2 46 sensors 0
2 46 symmetry 0
2 46 total_components 0.07
2 135 branching 0
2 135 connectivity1 0.2
2 135 connectivity2 1
2 135 coverage 1
2 135 effective_joints 1
2 135 length_ratio 0.143
2 135 sensors 0
2 135 symmetry 0
2 135 total_components 0.07
2 4 branching 0
2 4 connectivity1 0.5
2 4 connectivity2 1
2 4 coverage 1
2 4 effective_joints 0
2 4 length_ratio 0.333
2 4 sensors 0.25
2 4 symmetry 0
2 4 total_components 0.03
2 9 branching 0
2 9 connectivity1 0.333
2 9 connectivity2 1
2 9 coverage 1
2 9 effective_joints 1
2 9 length_ratio 0.25
2 9 sensors 0
2 9 symmetry 0
2 9 total_components 0.04
2 134 branching 0
2 134 connectivity1 0.25
2 134 connectivity2 0.889
2 134 coverage 0.55
2 134 effective_joints 0.889
2 134 length_ratio 0.2
2 134 sensors 0
2 134 symmetry 0
2 134 total_components 0.11
2 48 branching 0
2 48 connectivity1 0.25
2 48 connectivity2 1
2 48 coverage 0.667
2 48 effective_joints 0.5
2 48 length_ratio 1
2 48 sensors 0.285714
2 48 symmetry 0
2 48 total_components 0.06
2 116 branching 0
2 116 connectivity1 0.059
2 116 connectivity2 1
2 116 coverage 1
2 116 effective_joints 0.826
2 116 length_ratio 0.04
2 116 sensors 0
2 116 symmetry 0
2 116 total_components 0.25
2 54 branching 0
2 54 connectivity1 0.25
2 54 connectivity2 1
2 54 coverage 1
2 54 effective_joints 1
2 54 length_ratio 0.167
2 54 sensors 0.333333
2 54 symmetry 0
2 54 total_components 0.06
2 89 branching 0
2 89 connectivity1 0.4
2 89 connectivity2 0.6
2 89 coverage 0.583
2 89 effective_joints 0
2 89 length_ratio 0.75
2 89 sensors 0
2 89 symmetry 0.5
2 89 total_components 0.07
2 11 branching 0
2 11 connectivity1 0.5
2 11 connectivity2 1
2 11 coverage 0.75
2 11 effective_joints 0
2 11 length_ratio 1
2 11 sensors 0.2
2 11 symmetry 0
2 11 total_components 0.03
2 88 branching 0
2 88 connectivity1 0.25
2 88 connectivity2 1
2 88 coverage 0.6
2 88 effective_joints 0.75
2 88 length_ratio 0.4
2 88 sensors 0
2 88 symmetry 0
2 88 total_components 0.06
2 42 branching 0
2 42 connectivity1 0.167
2 42 connectivity2 0.867
2 42 coverage 0.567
2 42 effective_joints 0.4
2 42 length_ratio 0.833
2 42 sensors 0.047619
2 42 symmetry 0.714
2 42 total_components 0.17
2 6 branching 0
2 6 connectivity1 0.154
2 6 connectivity2 0.941
2 6 coverage 0.594
2 6 effective_joints 0.706
2 6 length_ratio 0.5
2 6 sensors 0.1
2 6 symmetry 0.267
2 6 total_components 0.19
2 69 branching 0
2 69 connectivity1 0.286
2 69 connectivity2 0.875
2 69 coverage 0.556
2 69 effective_joints 0.875
2 69 length_ratio 0.222
2 69 sensors 0
2 69 symmetry 0
2 69 total_components 0.1
2 148 branching 0
2 148 connectivity1 0.5
2 148 connectivity2 1
2 148 coverage 1
2 148 effective_joints 1
2 148 length_ratio 0.333
2 148 sensors 0.333333
2 148 symmetry 0
2 148 total_components 0.03
2 22 branching 0
2 22 connectivity1 0.125
2 22 connectivity2 1
2 22 coverage 0.55
2 22 effective_joints 0.556
2 22 length_ratio 0.8
2 22 sensors 0.272727
2 22 symmetry 0
2 22 total_components 0.11
2 130 branching 0
2 130 connectivity1 0.5
2 130 connectivity2 0.444
2 130 coverage 0.367
2 130 effective_joints 0.222
2 130 length_ratio 0.833
2 130 sensors 0.214286
2 130 symmetry 0
2 130 total_components 0.11
2 128 branching 0
2 128 connectivity1 0.2
2 128 connectivity2 1
2 128 coverage 0.438
2 128 effective_joints 0.6
2 128 length_ratio 1
2 128 sensors 0
2 128 symmetry 0
2 128 total_components 0.07
2 111 branching 0
2 111 connectivity1 0.125
2 111 connectivity2 1
2 111 coverage 1
2 111 effective_joints 1
2 111 length_ratio 0.083
2 111 sensors 0
2 111 symmetry 0
2 111 total_components 0.12
2 91 branching 0
2 91 connectivity1 0.4
2 91 connectivity2 0.6
2 91 coverage 0.583
2 91 effective_joints 0.4
2 91 length_ratio 0.75
2 91 sensors 0.0833333
2 91 symmetry 0.5
2 91 total_components 0.07
2 43 branching 0
2 43 connectivity1 0.5
2 43 connectivity2 1
2 43 coverage 0.75
2 43 effective_joints 0
2 43 length_ratio 1
2 43 sensors 0.25
2 43 symmetry 0
2 43 total_components 0.03
2 57 branching 0
2 57 connectivity1 0.4
2 57 connectivity2 0.6
2 57 coverage 0.583
2 57 effective_joints 0.6
2 57 length_ratio 0.333
2 57 sensors 0
2 57 symmetry 0
2 57 total_components 0.07
2 38 branching 0
2 38 connectivity1 0.5
2 38 connectivity2 0.429
2 38 coverage 0.36
2 38 effective_joints 0.143
2 38 length_ratio 1
2 38 sensors 0
2 38 symmetry 0.4
2 38 total_components 0.09
2 71 branching 0
2 71 connectivity1 0.286
2 71 connectivity2 0.75
2 71 coverage 0.333
2 71 effective_joints 0.375
2 71 length_ratio 0.833
2 71 sensors 0.4
2 71 symmetry 0
2 71 total_components 0.1
2 108 branching 0
2 108 connectivity1 0.125
2 108 connectivity2 1
2 108 coverage 1
2 108 effective_joints 0.9
2 108 length_ratio 0.083
2 108 sensors 0.2
2 108 symmetry 0
2 108 total_components 0.12
2 93 branching 0
2 93 connectivity1 0.2
2 93 connectivity2 0.833
2 93 coverage 0.259
2 93 effective_joints 0.667
2 93 length_ratio 0.667
2 93 sensors 0.125
2 93 symmetry 0
2 93 total_components 0.14
2 129 branching 0
2 129 connectivity1 0.083
2 129 connectivity2 1
2 129 coverage 0.378
2 129 effective_joints 0.867
2 129 length_ratio 0.2
2 129 sensors 0.2
2 129 symmetry 0
2 129 total_components 0.17
2 31 branching 0
2 31 connectivity1 0.5
2 31 connectivity2 0.571
2 31 coverage 0.45
2 31 effective_joints 0.429
2 31 length_ratio 0.8
2 31 sensors 0.4
2 31 symmetry 0
2 31 total_components 0.09
2 81 branching 0
2 81 connectivity1 0.25
2 81 connectivity2 1
2 81 coverage 0.6
2 81 effective_joints 0.75
2 81 length_ratio 0.4
2 81 sensors 0
2 81 symmetry 0
2 81 total_components 0.06
2 118 branching 0
2 118 connectivity1 0.5
2 118 connectivity2 1
2 118 coverage 1
2 118 effective_joints 1
2 118 length_ratio 0.333
2 118 sensors 1
2 118 symmetry 0
2 118 total_components 0.03
2 68 branching 0
2 68 connectivity1 0.667
2 68 connectivity2 0.5
2 68 coverage 0.667
2 68 effective_joints 0
2 68 length_ratio 0.667
2 68 sensors 0.142857
2 68 symmetry 0
2 68 total_components 0.04
2 101 branching 0
2 101 connectivity1 0.6
2 101 connectivity2 0.2
2 101 coverage 0.583
2 101 effective_joints 0
2 101 length_ratio 0.75
2 101 sensors 0.1
2 101 symmetry 0.5
2 101 total_components 0.07
2 0 branching 0
2 0 connectivity1 0.2
2 0 connectivity2 1
2 0 coverage 0.583
2 0 effective_joints 0.8
2 0 length_ratio 0.333
2 0 sensors 0.125
2 0 symmetry 0
2 0 total_components 0.07
2 40 branching 0
2 40 connectivity1 0.111
2 40 connectivity2 1
2 40 coverage 1
2 40 effective_joints 1
2 40 length_ratio 0.077
2 40 sensors 0.666667
2 40 symmetry 0
2 40 total_components 0.13
2 132 branching 0
2 132 connectivity1 0.2
2 132 connectivity2 1
2 132 coverage 1
2 132 effective_joints 1
2 132 length_ratio 0.143
2 132 sensors 0
2 132 symmetry 0
2 132 total_components 0.07
2 131 branching 0
2 131 connectivity1 0.125
2 131 connectivity2 1
2 131 coverage 0.458
2 131 effective_joints 0.667
2 131 length_ratio 0.667
2 131 sensors 0.0833333
2 131 symmetry 0.286
2 131 total_components 0.11
2 113 branching 0
2 113 connectivity1 0.333
2 113 connectivity2 1
2 113 coverage 1
2 113 effective_joints 1
2 113 length_ratio 0.25
2 113 sensors 0.333333
2 113 symmetry 0
2 113 total_components 0.04
2 142 branching 0
2 142 connectivity1 1
2 142 connectivity2 0
2 142 coverage 0.75
2 142 effective_joints 0
2 142 length_ratio 1
2 142 sensors 1
2 142 symmetry 0
2 142 total_components 0.03
2 26 branching 0
2 26 connectivity1 0.125
2 26 connectivity2 1
2 26 coverage 0.367
2 26 effective_joints 0.667
2 26 length_ratio 0.833
2 26 sensors 0
2 26 symmetry 0.222
2 26 total_components 0.11
2 137 branching 0
2 137 connectivity1 0.5
2 137 connectivity2 0.75
2 137 coverage 0.5
2 137 effective_joints 0.5
2 137 length_ratio 0.75
2 137 sensors 0
2 137 symmetry 0
2 137 total_components 0.06
3 17 branching 0
3 17 connectivity1 0.25
3 17 connectivity2 1
3 17 coverage 1
3 17 effective_joints 1
3 17 length_ratio 0.167
3 17 sensors 0
3 17 symmetry 0
3 17 total_components 0.06
3 129 branching 0
3 129 connectivity1 0.083
3 129 connectivity2 1
3 129 coverage 0.378
3 129 effective_joints 0.867
3 129 length_ratio 0.2
3 129 sensors 0.2
3 129 symmetry 0
3 129 total_components 0.17
3 58 branching 0
3 58 connectivity1 0.25
3 58 connectivity2 1
3 58 coverage 0.6
3 58 effective_joints 0.5
3 58 length_ratio 0.4
3 58 sensors 0.142857
3 58 symmetry 0
3 58 total_components 0.06
3 185 branching 0
3 185 connectivity1 0.333
3 185 connectivity2 1
3 185 coverage 1
3 185 effective_joints 1
3 185 length_ratio 0.25
3 185 sensors 0
3 185 symmetry 0
3 185 total_components 0.04
3 69 branching 0
3 69 connectivity1 0.286
3 69 connectivity2 0.875
3 69 coverage 0.556
3 69 effective_joints 0.875
3 69 length_ratio 0.222
3 69 sensors 0
3 69 symmetry 0
3 69 total_components 0.1
3 162 branching 0
3 162 connectivity1 0.056
3 162 connectivity2 1
3 162 coverage 0.25
