idgenome distances_parent1 distances_parent2 distances_parents
373 0.15 0.85 0.87
374 0.32 0.64 0.88
375 0.09 0.56 0.55
376 0.95 1.09 0.39
377 0.78 0.38 0.68
378 0.5 0.82 0.49
379 0.3 0.79 0.73
380 0.04 0.05 0.02
381 0.74 0 0.74
382 0 0.33 0.33
383 0.47 0.51 0.25
384 0.87 0.38 1
385 0.05 0.74 0.73
386 1.02 0.83 0.71
387 0.01 1.08 1.08
388 1.02 0.52 1.03
389 0.9 0.15 0.86
390 0.19 0.03 0.19
391 0.72 0.26 0.77
392 0.35 0.12 0.33
393 0.05 0.05 0
394 0.43 0.16 0.46
395 0.51 1.05 0.9
396 0.21 1.04 1.14
397 0.87 0.07 0.88
398 0.17 0.12 0.12
399 0.71 0.25 0.8
