generation idgenome noveltyfit locofit finalfit balfit novlfit penfit idparent1 idparent2 
1 99 0.476861 0 0 0 0 0 N N 
2 0 0.125 0.00267345 0.00267345 0.94576 0 0 N N 
2 1 0.450045 0.00146996 0.00146996 0.935051 0 0 N N 
2 2 0.20025 0.00183922 0.00183922 0.996505 0 0 N N 
2 3 0 0 0 0 0 0 N N 
2 4 0.587199 0 0 0 0 0 N N 
2 5 0.326227 0.00335893 0.00335893 0.996207 0 0 N N 
2 6 0.243448 0 0 0 0 0 N N 
2 7 0 0.000468653 0.000468653 0.981845 0 0 N N 
2 8 0.136773 0 0 0 0 0 N N 
2 9 0 0.000617632 0.000617632 0.970245 0 0 N N 
2 10 0.281563 0.000669739 0.000669739 0.954175 0 0 N N 
2 11 0.05 6.05169e-07 6.05169e-07 0.9999 0 0 N N 
2 12 0.186757 0.000122641 0.000122641 0.996256 0 0 N N 
2 13 0 0.000317971 0.000317971 0.997644 0 0 N N 
2 14 0 0 0 0 0 0 N N 
2 15 0 0.00236248 0.00236248 0.953851 0 0 N N 
2 16 0.362731 0.000187462 0.000187462 0.998022 0 0 N N 
2 17 0.0344819 0.00251282 0.00251282 0.876334 0 0 N N 
2 18 0 0.00161657 0.00161657 0.983409 0 0 N N 
2 19 0 0.000621019 0.000621019 0.982392 0 0 N N 
2 20 0.344026 0 0 0 0 0 N N 
2 21 0.218382 0.0046369 0.0046369 0.967645 0 0 N N 
2 22 0.187523 0.00776134 0.00776134 0.946029 0 0 N N 
2 23 0 0 0 0 0 0 N N 
2 24 0.240554 0 0 0 0 0 N N 
2 25 0 1.74958e-08 1.74958e-08 0.999999 0 0 N N 
2 26 0.0879116 0.00157484 0.00157484 0.982559 0 0 N N 
2 27 0.186757 0.000694005 0.000694005 0.989361 0 0 N N 
2 28 0.0879116 0 0 0 0 0 N N 
2 29 0.472523 0 0 0 0 0 N N 
2 30 0.213565 0.00215263 0.00215263 0.941214 0 0 N N 
2 31 0 0.000441513 0.000441513 0.995325 0 0 N N 
