generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
3 163 0 0.4 0.6 0.583 0.4 0.75 0.111111 0 0.07
3 164 0 0.1 1 0.333 0.538 0.556 0 0 0.15
3 165 0 0.2 1 0.583 0.6 0.75 0.428571 0.4 0.07
3 166 0 0.071 1 0.333 0.833 0.267 0 0.222 0.2
3 167 0 0.333 1 1 1 0.25 0.166667 0 0.04
3 168 0 0.5 0.333 0.556 0.333 1 0.285714 1 0.05
3 169 0 0.333 1 0.667 0.5 0.667 0.375 0 0.04
3 170 0 0.167 1 1 1 0.111 0 0 0.09
3 171 0 0.333 1 1 1 0.25 0.333333 0 0.04
3 172 0 0.071 1 0.571 0.722 0.714 0.307692 0 0.2
3 173 0 0.2 0.833 0.333 0.667 0.857 0.0714286 0 0.14
3 174 0 0.25 1 0.625 0.667 0.5 0 0 0.05
3 175 0 0.333 1 1 1 0.25 0 0 0.04
3 176 0 0.5 0.5 0.5 0.5 0.75 0 1 0.06
3 177 0 1 0 1 0 0.333 0.2 1 0.03
3 178 0 0.25 0.889 0.55 0.889 0.2 0 0 0.11
3 179 0 0.333 0.714 0.429 0.714 0.429 0.25 0.333 0.09
3 180 0 0.25 0.8 0.429 0.5 0.571 0 0 0.12
3 181 0 0.333 1 1 0 1 0 0 0.04
3 182 0 0.5 1 1 1 0.333 0.5 0 0.03
3 183 0 0.2 1 0.583 0.8 0.333 0.2 0 0.07
3 184 0 0.125 1 0.314 0.667 0.714 0.222222 0 0.11
3 185 0 0.333 1 1 1 0.25 0 0 0.04
3 186 0 0.5 0.75 0.5 0.5 0.75 0.285714 0 0.06
3 187 0 0.5 0.333 0.556 0 1 0.5 0 0.05
3 188 0 0.25 1 1 1 0.2 0.666667 0 0.05
3 189 0 0.167 1 1 1 0.125 0 0 0.08
3 190 0 0.143 1 0.833 0.625 0.75 0.222222 0 0.1
3 191 0 0.2 1 0.467 0.8 0.6 0.2 0 0.07
3 192 0 0.2 1 1 1 0.143 1 0 0.07
3 193 0 0.2 1 0.875 0.2 0.5 0.272727 0 0.07
3 194 0 0.2 1 0.583 0.6 0.75 0 0.4 0.07
3 195 0 0.333 0.727 0.52 0.455 1 0.111111 0.444 0.13
3 196 0 0.25 1 0.833 0 0.667 0 0 0.05
3 197 0 0.25 1 0.833 0.333 0.667 0.2 0 0.05
3 198 0 0.077 1 0.432 0.824 0.364 0 0 0.19
3 199 0 0.25 0.778 0.611 0.556 0.222 0.142857 0 0.11
4 200 0 0.071 1 0.556 0.5 1 0 0 0.2
4 201 0 0.4 0.8 0.467 0.6 0.6 0 0 0.07
4 202 0 0.2 1 0.583 0.8 0.333 0.25 0 0.07
4 203 0 0.111 1 1 0.909 0.077 0.2 0 0.13
4 204 0 0.111 1 1 0.636 0.077 0 0 0.13
4 205 0 0.167 1 1 1 0.111 0.166667 0 0.09
4 206 0 0.4 0.583 0.4 0.5 0.714 0.111111 0.333 0.14
4 207 0 0.333 0.667 0.667 0.5 0.333 0.166667 0 0.08
4 208 0 0.125 1 0.444 0.4 0.333 0.277778 0.4 0.12
4 209 0 0.333 0.667 0.444 0.667 0.5 0.2 0 0.08
4 210 0 0.25 1 0.625 0.333 0.5 0.1 0 0.05
4 211 0 0.167 1 1 0.857 0.111 0 0 0.09
4 212 0 0.167 1 1 0.833 0.125 0 0 0.08
4 213 0 0.25 1 1 1 0.167 0.666667 0 0.06
4 214 0 0.067 1 0.244 0.85 0.4 0 0.267 0.22
4 215 0 0.167 1 0.563 0.714 0.25 0 0 0.09
4 216 0 0.25 1 1 1 0.167 0 0 0.06
4 217 0 0.111 1 0.542 0.909 0.167 0 0 0.13
4 218 0 0.071 1 0.333 0.833 0.267 0 0.222 0.2
4 219 0 0.154 0.882 0.292 0.647 0.385 0.25 0.2 0.19
4 220 0 0.2 1 1 1 0.143 1 0 0.07
4 221 0 0.357 0.556 0.625 0.333 0.125 0 0 0.2
4 222 0 0.167 1 1 0.857 0.111 0 0 0.09
4 223 0 0.1 1 0.268 0.538 0.875 0.0666667 0 0.15
4 224 0 0.167 1 1 1 0.125 0.333333 0 0.08
4 225 0 0.167 1 1 1 0.125 0 0 0.08
4 226 0 0.4 0.6 0.583 0.6 0.333 0.2 0 0.07
4 227 0 0.071 1 1 0.611 0.05 0 0 0.2
4 228 0 0.071 1 0.333 0.833 0.267 0 0.222 0.2
4 229 0 0.083 1 0.375 0.938 0.188 0 0 0.18
4 230 0 0.25 1 1 1 0.167 0 0 0.06
4 231 0 0.167 1 1 1 0.111 0 0 0.09
4 232 0 0.4 0.6 0.467 0.4 0.6 0.555556 0 0.07
4 233 0 0 0 1 0 1 0.25 0 0.01
4 234 0 0.1 1 0.389 0.833 0.25 0 0 0.14
4 235 0 0.167 1 1 0.667 0.125 0 0 0.08
4 236 0 0.333 1 1 1 0.25 0 0 0.04
4 237 0 0.111 1 0.542 0.909 0.167 0.4 0 0.13
4 238 0 0.077 1 1 0.765 0.053 0 0 0.19
4 239 0 0.25 1 1 1 0.167 0 0 0.06
4 240 0 0.2 1 1 1 0.143 1 0 0.07
4 241 0 0.1 1 0.292 0.667 0.75 0.545455 0 0.14
4 242 0 0.125 1 1 0.556 0.091 0 0 0.11
4 243 0 0.1 1 0.292 0.583 0.75 0 0.167 0.14
4 244 0 0.091 1 1 0.929 0.063 0.2 0 0.16
4 245 0 0.333 1 0.667 0.5 0.667 0.2 0 0.04
4 246 0 0.2 1 1 0.8 0.143 0 0 0.07
4 247 0 0.083 1 0.327 0.875 0.455 0.142857 0.375 0.18
4 248 0 0.25 1 1 1 0.2 0 0 0.05
4 249 0 0.333 0.833 0.571 0.667 0.286 0 0 0.08
5 250 0 0.333 0.857 1 0.857 0.111 0.5 0.25 0.09
5 251 0 0.2 1 1 1 0.143 0.666667 0 0.07
5 252 0 0.125 0.905 0.256 0.81 0.278 0 0 0.23
5 253 0 0.077 1 1 0.588 0.053 0 0 0.19
5 254 0 0.077 1 1 0.588 0.053 0 0 0.19
5 255 0 0.25 1 1 1 0.2 0 0 0.05
5 256 0 0.2 1 0.467 0.8 0.6 0 0 0.07
5 257 0 0.167 1 1 1 0.125 0.333333 0 0.08
5 258 0 0.167 1 1 1 0.125 0 0 0.08
5 259 0 0.5 1 1 1 0.333 0 0 0.03
5 260 0 0.167 1 0.533 0.667 0.6 0.285714 0 0.08
5 261 0 0.5 0.667 1 0.667 0.2 0.5 0.5 0.05
5 262 0 0.2 1 1 1 0.143 1 0 0.07
5 263 0 0.25 1 0.833 0.333 0.667 0 0 0.05
5 264 0 0.077 1 0.209 0.765 0.538 0 0 0.19
5 265 0 0.125 1 1 1 0.083 0 0 0.12
5 266 0 0.167 1 1 1 0.111 0 0 0.09
5 267 0 0.167 1 0.563 0.857 0.25 0.25 0 0.09
5 268 0 0.333 0.818 0.542 0.545 0.167 0 0.182 0.13
5 269 0 0.167 1 0.4 0.833 0.8 0 0 0.08
5 270 0 0.167 1 1 1 0.125 0.333333 0 0.08
5 271 0 0.091 1 0.533 0.929 0.133 0 0 0.16
5 272 0 0.167 1 1 1 0.111 0 0 0.09
5 273 0 0.1 1 1 0.692 0.067 0.0909091 0 0.15
5 274 0 0.077 1 1 0.765 0.053 0 0 0.19
5 275 0 0.125 1 0.407 0.889 0.333 0 0 0.11
5 276 0 0.071 1 0.317 0.722 0.778 0.375 0.111 0.2
5 277 0 0.071 1 0.185 0.722 0.75 0 0 0.2
5 278 0 0.125 1 1 0.9 0.083 0.2 0 0.12
5 279 0 0.25 1 1 1 0.167 0 0 0.06
5 280 0 0.167 1 0.6 0.714 0.6 0.2 0 0.09
5 281 0 1 0 1 0 0.5 0.666667 0 0.02
5 282 0 0.091 1 0.381 0.929 0.214 0 0 0.16
5 283 0 0.333 1 0.667 0.5 0.667 0.25 0 0.04
5 284 0 0.333 1 0.667 0.5 0.667 0.2 0 0.04
5 285 0 0.25 1 1 1 0.2 0.666667 0 0.05
5 286 0 0.083 1 0.378 0.933 0.2 0 0 0.17
5 287 0 0.1 1 1 0.667 0.071 0.0909091 0 0.14
5 288 0 0.1 1 1 1 0.067 0 0 0.15
5 289 0 0.5 1 0.75 0 1 0.125 0 0.03
5 290 0 0.25 0.8 0.667 0.5 0.5 0.0769231 0.4 0.12
5 291 0 0.25 0.778 0.314 0.667 0.714 0 0.25 0.11
5 292 0 0.25 1 0.6 0.75 0.4 0 0 0.06
5 293 0 0.25 1 1 1 0.167 0 0 0.06
5 294 0 0.167 1 0.6 0.571 0.6 0.166667 0 0.09
5 295 0 0.167 0.875 0.214 0.563 0.583 0.0714286 0 0.18
5 296 0 0.25 1 1 1 0.2 0 0 0.05
5 297 0 0.063 1 0.365 0.81 0.143 0 0 0.23
5 298 0 0.143 0.889 0.22 0.833 0.538 0 0 0.2
5 299 0 0.167 1 1 1 0.111 0 0 0.09
5 250 0 0.2 1 0.467 0.6 0.6 0.1 0 0.07
5 251 0 0.1 1 0.333 0.538 0.556 0 0 0.15
5 252 0 0.25 0.8 0.4 0.6 0.3 0.125 0.222 0.12
5 253 0 0.083 1 0.304 0.933 0.286 0.2 0 0.17
5 254 0 0.071 1 0.556 0.5 1 0.142857 0 0.2
5 255 0 0.071 1 0.294 0.833 0.235 0 0 0.2
5 256 0 0.125 1 1 0.8 0.333 0 0 0.12
5 257 0 0.143 1 1 1 0.1 0.333333 0 0.1
5 258 0 0.25 0.733 0.386 0.6 0.364 0 0 0.17
5 259 0 0.2 0.846 0.417 0.769 0.25 0 0 0.15
5 260 0 0.5 1 1 1 0.333 0.333333 0 0.03
5 261 0 0.1 1 0.238 0.769 0.778 0 0 0.15
5 262 0 0.111 1 0.433 0.364 0.833 0.1 0 0.13
5 263 0 0.25 1 0.625 0.667 0.5 0.25 0 0.05
5 264 0 0.167 1 0.889 0.5 1 0.5 1 0.08
5 265 0 0.25 1 1 1 0.167 0 0 0.06
5 266 0 0.167 1 1 0.571 0.111 0 0 0.09
5 267 0 0.25 1 1 1 0.2 0 0 0.05
5 268 0 0.25 1 1 1 0.167 0.166667 0 0.06
5 269 0 0.167 1 1 1 0.111 0.333333 0 0.09
5 270 0 0.2 1 0.7 0.6 0.4 0.3 0 0.07
5 271 0 0.167 1 1 1 0.111 0 0 0.09
5 272 0 0.25 1 1 1 0.167 0 0 0.06
5 273 0 0.125 1 0.333 0.8 0.444 0.285714 0 0.12
5 274 0 0.4 0.6 0.583 0.6 0.333 0.142857 0 0.07
5 275 0 0.167 1 1 1 0.111 0.166667 0 0.09
5 276 0 0.25 1 0.6 0.75 0.4 0.125 0 0.06
5 277 0 0.125 1 0.286 0.5 0.857 0 0 0.12
5 278 0 0.333 0.857 0.563 0.857 0.25 0 0 0.09
5 279 0 0.1 1 0.313 0.846 0.333 0.142857 0 0.15
5 280 0 0.167 1 1 1 0.125 0 0 0.08
5 281 0 0.333 0.714 0.6 0.429 0.6 0.0714286 0 0.09
5 282 0 0.25 1 1 1 0.2 0 0 0.05
5 283 0 0.125 1 0.44 0.556 1 0.142857 0.444 0.11
5 284 0 0.25 1 0.6 0.75 0.4 0 0 0.06
5 285 0 0.167 1 0.444 0.667 0.5 0.2 0 0.08
5 286 0 0.056 1 1 0.75 0.038 0 0 0.26
5 287 0 0.125 1 1 0.556 0.091 0 0 0.11
5 288 0 0.125 1 1 1 0.083 0 0 0.12
5 289 0 0.167 1 1 0.833 0.125 0 0 0.08
5 290 0 0.111 1 0.929 0.364 0.286 0.05 0.182 0.13
5 291 0 0.05 1 1 1 0.033 0 0 0.3
5 292 0 0.143 1 0.357 0.5 0.571 0.181818 0 0.1
5 293 0 0.125 1 1 1 0.083 0 0 0.12
